Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
d,2860,854,2898,908,4,50,5,2879.0,874.0
e,2898,854,2936,908,4,50,6,2917.0,868.5
r,2936,854,2974,907,4,50,7,2955.0,868.0
t,2974,854,3012,908,4,50,8,2993.0,872.5
a,3012,854,3050,908,4,50,9,3031.0,868.5
l,3050,854,3088,907,4,50,10,3069.0,873.5
e,3088,854,3126,908,4,50,11,3107.0,868.5
s,3126,854,3164,908,4,50,12,3145.0,868.5
",",3164,854,3202,916,4,50,13,3183.0,863.5
a,10,980,48,1034,5,51,1,29.0,994.5
i,48,980,86,1033,5,51,2,67.0,1000.5
s,86,980,124,1034,5,51,3,105.0,994.5
l,124,980,162,1033,5,51,4,143.0,999.5
a,162,980,200,1034,5,51,5,181.0,994.5
d,200,980,238,1034,5,51,6,219.0,1000.0
o,238,980,276,1034,5,51,7,257.0,994.5
s,276,980,314,1034,5,51,8,295.0,994.5
 ,314,980,352,1033,5,51,0,333.0,980.0
d,352,980,390,1034,5,52,1,371.0,1000.0
u,390,980,428,1034,5,52,2,409.0,994.0
r,428,980,466,1033,5,52,3,447.0,994.0
a,466,980,504,1034,5,52,4,485.0,994.5
n,504,980,542,1033,5,52,5,523.0,994.0
t,542,980,580,1034,5,52,6,561.0,998.5
e,580,980,618,1034,5,52,7,599.0,994.5
 ,618,980,656,1033,5,52,0,637.0,980.0
m,656,980,694,1033,5,53,1,675.0,994.0
i,694,980,732,1033,5,53,2,713.0,1000.5
l,732,980,770,1033,5,53,3,751.0,999.5
e,770,980,808,1034,5,53,4,789.0,994.5
s,808,980,846,1034,5,53,5,827.0,994.5
 ,846,980,884,1033,5,53,0,865.0,980.0
d,884,980,922,1034,5,54,1,903.0,1000.0
e,922,980,960,1034,5,54,2,941.0,994.5
 ,960,980,998,1033,5,54,0,979.0,980.0
a,998,980,1036,1034,5,55,1,1017.0,994.5
ñ,1036,980,1074,1033,5,55,2,1055.0,999.0
o,1074,980,1112,1034,5,55,3,1093.0,994.5
s,1112,980,1150,1034,5,55,4,1131.0,994.5
",",1150,980,1188,1042,5,55,5,1169.0,989.5
 ,1188,980,1226,1033,5,55,0,1207.0,980.0
n,1226,980,1264,1033,5,56,1,1245.0,994.0
o,1264,980,1302,1034,5,56,2,1283.0,994.5
 ,1302,980,1340,1033,5,56,0,1321.0,980.0
t,1340,980,1378,1034,5,57,1,1359.0,998.5
e,1378,980,1416,1034,5,57,2,1397.0,994.5
n,1416,980,1454,1033,5,57,3,1435.0,994.0
í,1454,980,1492,1033,5,57,4,1473.0,1000.0
a,1492,980,1530,1034,5,57,5,1511.0,994.5
n,1530,980,1568,1033,5,57,6,1549.0,994.0
 ,1568,980,1606,1033,5,57,0,1587.0,980.0
d,1606,980,1644,1034,5,58,1,1625.0,1000.0
e,1644,980,1682,1034,5,58,2,1663.0,994.5
f,1682,980,1720,1033,5,58,3,1701.0,999.5
e,1720,980,1758,1034,5,58,4,1739.0,994.5
n,1758,980,1796,1033,5,58,5,1777.0,994.0
s,1796,980,1834,1034,5,58,6,1815.0,994.5
a,1834,980,1872,1034,5,58,7,1853.0,994.5
s,1872,980,1910,1034,5,58,8,1891.0,994.5
.,1910,980,1948,1034,5,58,9,1929.0,984.0
 ,1948,980,1986,1033,5,58,0,1967.0,980.0
E,1986,980,2024,1033,5,59,1,2005.0,998.0
s,2024,980,2062,1034,5,59,2,2043.0,994.5
t,2062,980,2100,1034,5,59,3,2081.0,998.5
a,2100,980,2138,1034,5,59,4,2119.0,994.5
 ,2138,980,2176,1033,5,59,0,2157.0,980.0
t,2176,980,2214,1034,5,60,1,2195.0,998.5
e,2214,980,2252,1034,5,60,2,2233.0,994.5
o,2252,980,2290,1034,5,60,3,2271.0,994.5
r,2290,980,2328,1033,5,60,4,2309.0,994.0
í,2328,980,2366,1033,5,60,5,2347.0,1000.0
a,2366,980,2404,1034,5,60,6,2385.0,994.5
 ,2404,980,2442,1033,5,60,0,2423.0,980.0
s,2442,980,2480,1034,5,61,1,2461.0,994.5
e,2480,980,2518,1034,5,61,2,2499.0,994.5
 ,2518,980,2556,1033,5,61,0,2537.0,980.0
c,2556,980,2594,1034,5,62,1,2575.0,994.5
o,2594,980,2632,1034,5,62,2,2613.0,994.5
m,2632,980,2670,1033,5,62,3,2651.0,994.0
p,2670,980,2708,1045,5,62,4,2689.0,1000.0
a,2708,980,2746,1034,5,62,5,2727.0,994.5
r,2746,980,2784,1033,5,62,6,2765.0,994.0
a,2784,980,2822,1034,5,62,7,2803.0,994.5
 ,2822,980,2860,1033,5,62,0,2841.0,980.0
f,2860,980,2898,1033,5,63,1,2879.0,999.5
r,2898,980,2936,1033,5,63,2,2917.0,994.0
e,2936,980,2974,1034,5,63,3,2955.0,994.5
c,2974,980,3012,1034,5,63,4,2993.0,994.5
u,3012,980,3050,1034,5,63,5,3031.0,994.0
e,3050,980,3088,1034,5,63,6,3069.0,994.5
n,3088,980,3126,1033,5,63,7,3107.0,994.0
t,3126,980,3164,1034,5,63,8,3145.0,998.5
e,3164,980,3202,1034,5,63,9,3183.0,994.5
m,3202,980,3240,1033,5,63,10,3221.0,994.0
e,3240,980,3278,1034,5,63,11,3259.0,994.5
n,3278,980,3316,1033,5,63,12,3297.0,994.0
t,3316,980,3354,1034,5,63,13,3335.0,998.5
e,3354,980,3392,1034,5,63,14,3373.0,994.5
c,10,1106,48,1160,6,64,1,29.0,1120.5
o,48,1106,86,1160,6,64,2,67.0,1120.5
n,86,1106,124,1159,6,64,3,105.0,1120.0
 ,124,1106,162,1159,6,64,0,143.0,1106.0
e,162,1106,200,1160,6,65,1,181.0,1120.5
l,200,1106,238,1159,6,65,2,219.0,1125.5
 ,238,1106,276,1159,6,65,0,257.0,1106.0
i,276,1106,314,1159,6,66,1,295.0,1126.5
m,314,1106,352,1159,6,66,2,333.0,1120.0
p,352,1106,390,1171,6,66,3,371.0,1126.0
a,390,1106,428,1160,6,66,4,409.0,1120.5
c,428,1106,466,1160,6,66,5,447.0,1120.5
t,466,1106,504,1160,6,66,6,485.0,1124.5
o,504,1106,542,1160,6,66,7,523.0,1120.5
 ,542,1106,580,1159,6,66,0,561.0,1106.0
d,580,1106,618,1160,6,67,1,599.0,1126.0
e,618,1106,656,1160,6,67,2,637.0,1120.5
v,656,1106,694,1159,6,67,3,675.0,1119.5
a,694,1106,732,1160,6,67,4,713.0,1120.5
s,732,1106,770,1160,6,67,5,751.0,1120.5
t,770,1106,808,1160,6,67,6,789.0,1124.5
a,808,1106,846,1160,6,67,7,827.0,1120.5
d,846,1106,884,1160,6,67,8,865.0,1126.0
o,884,1106,922,1160,6,67,9,903.0,1120.5
r,922,1106,960,1159,6,67,10,941.0,1120.0
 ,960,1106,998,1159,6,67,0,979.0,1106.0
q,998,1106,1036,1171,6,68,1,1017.0,1126.0
u,1036,1106,1074,1160,6,68,2,1055.0,1120.0
e,1074,1106,1112,1160,6,68,3,1093.0,1120.5
 ,1112,1106,1150,1159,6,68,0,1131.0,1106.0
l,1150,1106,1188,1159,6,69,1,1169.0,1125.5
a,1188,1106,1226,1160,6,69,2,1207.0,1120.5
s,1226,1106,1264,1160,6,69,3,1245.0,1120.5
 ,1264,1106,1302,1159,6,69,0,1283.0,1106.0
e,1302,1106,1340,1160,6,70,1,1321.0,1120.5
n,1340,1106,1378,1159,6,70,2,1359.0,1120.0
f,1378,1106,1416,1159,6,70,3,1397.0,1125.5
e,1416,1106,1454,1160,6,70,4,1435.0,1120.5
r,1454,1106,1492,1159,6,70,5,1473.0,1120.0
m,1492,1106,1530,1159,6,70,6,1511.0,1120.0
e,1530,1106,1568,1160,6,70,7,1549.0,1120.5
d,1568,1106,1606,1160,6,70,8,1587.0,1126.0
a,1606,1106,1644,1160,6,70,9,1625.0,1120.5
d,1644,1106,1682,1160,6,70,10,1663.0,1126.0
e,1682,1106,1720,1160,6,70,11,1701.0,1120.5
s,1720,1106,1758,1160,6,70,12,1739.0,1120.5
 ,1758,1106,1796,1159,6,70,0,1777.0,1106.0
t,1796,1106,1834,1160,6,71,1,1815.0,1124.5
r,1834,1106,1872,1159,6,71,2,1853.0,1120.0
a,1872,1106,1910,1160,6,71,3,1891.0,1120.5
í,1910,1106,1948,1159,6,71,4,1929.0,1126.0
d,1948,1106,1986,1160,6,71,5,1967.0,1126.0
a,1986,1106,2024,1160,6,71,6,2005.0,1120.5
s,2024,1106,2062,1160,6,71,7,2043.0,1120.5
 ,2062,1106,2100,1159,6,71,0,2081.0,1106.0
p,2100,1106,2138,1171,6,72,1,2119.0,1126.0
o,2138,1106,2176,1160,6,72,2,2157.0,1120.5
r,2176,1106,2214,1159,6,72,3,2195.0,1120.0
 ,2214,1106,2252,1159,6,72,0,2233.0,1106.0
l,2252,1106,2290,1159,6,73,1,2271.0,1125.5
o,2290,1106,2328,1160,6,73,2,2309.0,1120.5
s,2328,1106,2366,1160,6,73,3,2347.0,1120.5
 ,2366,1106,2404,1159,6,73,0,2385.0,1106.0
