Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	75	25121.4	25489.2	1738679845553.2	1738679845921.1	367.9	1406.3	480.2	3.4	3.4	3.4	41.4	65.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	76	25741.2	25945.1	1738679846173.1	1738679846377.0	203.9	1642.0	422.1	3.3	3.3	3.3	40.8	48.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	77	26081.1	26261.0	1738679846513.0	1738679846692.8	179.9	228.9	500.2	3.5	3.5	3.5	49.2	53.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	78	26289.0	26573.0	1738679846720.9	1738679847004.8	283.9	388.2	534.7	3.4	3.4	3.4	55.5	37.2	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	79	26624.9	26900.8	1738679847056.8	1738679847332.6	275.9	575.9	560.4	3.4	3.4	3.4	30.5	38.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	80	26924.8	27060.7	1738679847356.7	1738679847492.6	135.9	639.8	552.9	3.4	3.4	3.4	8.0	16.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	81	27088.8	27272.8	1738679847520.7	1738679847704.7	184.0	738.9	563.5	3.4	3.4	3.4	26.6	50.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	82	27300.7	27504.7	1738679847732.6	1738679847936.5	204.0	798.9	577.9	3.5	3.5	3.5	8.3	17.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	83	27716.6	27860.5	1738679848148.5	1738679848292.4	143.9	958.6	526.7	3.4	3.4	3.5	15.9	23.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	84	27904.6	28032.5	1738679848336.5	1738679848464.4	127.9	1162.4	542.7	3.4	3.4	3.4	29.8	18.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	85	28056.6	28356.4	1738679848488.5	1738679848788.3	299.8	1139.8	552.5	3.4	3.4	3.4	33.3	51.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	86	28408.4	28576.3	1738679848840.3	1738679849008.2	167.9	1198.1	579.1	3.4	3.4	3.4	38.5	59.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	87	28632.3	29296.2	1738679849064.2	1738679849728.1	663.9	1196.5	596.1	3.4	3.4	3.4	33.4	33.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	88	29340.1	29576.0	1738679849772.0	1738679850007.9	235.9	1343.3	544.6	3.3	3.3	3.3	31.8	37.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	89	29692.3	30160.0	1738679850124.2	1738679850591.9	467.7	1473.4	530.9	3.3	3.3	3.3	34.9	30.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	90	30183.9	30351.9	1738679850615.8	1738679850783.7	167.9	1514.8	526.1	3.3	3.3	3.3	26.3	11.1	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	91	30479.9	30612.0	1738679850911.8	1738679851043.8	132.1	1572.8	505.6	3.3	3.3	3.3	4.9	23.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	92	30655.8	30919.7	1738679851087.7	1738679851351.6	263.9	1689.5	472.1	3.3	3.3	3.3	20.9	61.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	93	31027.7	31171.7	1738679851459.6	1738679851603.5	144.0	193.4	592.8	3.4	3.4	3.4	59.4	34.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	94	31295.6	31551.6	1738679851727.5	1738679851983.5	256.0	1183.9	523.5	3.4	3.4	3.4	33.0	28.2	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	95	31567.6	31995.5	1738679851999.5	1738679852427.3	427.8	1170.1	539.1	3.4	3.4	3.4	32.7	40.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	96	32047.4	32327.4	1738679852479.3	1738679852759.3	280.0	1599.2	499.7	3.4	3.4	3.4	48.3	31.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	97	32383.4	32531.3	1738679852815.2	1738679852963.2	147.9	1730.5	470.2	3.3	3.3	3.3	14.2	38.1	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	98	32627.3	32831.2	1738679853059.2	1738679853263.0	203.9	1746.8	462.6	3.4	3.4	3.4	27.6	26.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	99	32947.3	33091.2	1738679853379.1	1738679853523.0	143.9	273.4	597.3	3.6	3.6	3.6	27.9	21.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	100	33111.3	33207.2	1738679853543.1	1738679853639.0	95.9	215.5	595.0	3.5	3.5	3.5	48.4	26.4	White Space
