Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	25	5622.5	5646.5	1738679826054.4	1738679826078.4	24.0	-	-	-	-	-	-	-	1109.2	310.6	1034.4	296.8	1.4	4916.4	4937.3	-13475.9	57.2	113.7	66.8	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	19	5646.5	5902.4	1738679826078.4	1738679826334.3	255.9	1036.2	298.6	3.6	3.6	3.6	40.6	28.0	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	26	5902.4	5942.4	1738679826334.3	1738679826374.2	40.0	-	-	-	-	-	-	-	1035.0	289.7	1215.0	261.6	3.5	6593.2	10507.4	-9820.4	88.8	225.1	40.2	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	20	5942.4	6250.4	1738679826374.2	1738679826682.2	308.0	1219.0	271.8	3.5	3.5	3.5	24.2	62.9	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	27	6250.4	6294.2	1738679826682.2	1738679826726.1	43.8	-	-	-	-	-	-	-	1220.7	281.2	1261.0	305.1	2.2	2656.7	5280.1	-3726.4	49.5	117.4	45.5	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	21	6294.2	6482.3	1738679826726.1	1738679826914.1	188.0	1266.7	291.4	3.5	3.5	3.5	39.3	36.5	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	28	6482.3	6514.2	1738679826914.1	1738679826946.1	32.0	-	-	-	-	-	-	-	1267.8	291.1	1407.3	276.4	2.7	5760.7	8000.9	-7420.1	83.1	176.8	49.9	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Blink	Right	3	6566.3	6646.2	1738679826998.1	1738679827078.0	79.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	29	6674.3	6706.2	1738679827106.2	1738679827138.1	31.9	-	-	-	-	-	-	-	1418.3	243.2	1556.0	253.2	2.6	5635.7	7931.4	-7782.5	82.5	166.4	50.0	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	22	6706.2	6810.2	1738679827138.1	1738679827242.1	104.0	1568.3	247.7	3.6	3.6	3.6	27.0	27.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
