Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	23	7070.1	7094.1	1714650022256.9	1714650022281.0	24.0	-	-	-	-	-	-	-	1091.3	163.2	1039.6	175.6	1.0	2266.0	2895.9	-3038.5	39.8	72.2	50.6	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	25	7094.1	7230.1	1714650022281.0	1714650022417.0	136.0	1031.5	182.8	3.1	3.1	3.1	15.7	12.5	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	24	7230.1	7270.1	1714650022417.0	1714650022456.9	40.0	-	-	-	-	-	-	-	1031.5	188.1	1202.0	176.8	3.1	4421.1	7719.2	-6002.9	78.5	174.5	30.0	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	26	7270.1	7542.0	1714650022456.9	1714650022728.8	271.9	1213.3	159.0	3.1	3.1	3.1	31.3	28.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	25	7542.0	7582.0	1714650022728.8	1714650022768.9	40.0	-	-	-	-	-	-	-	1224.9	154.0	1362.1	174.5	2.8	4709.5	8070.6	-7152.0	68.7	188.4	39.9	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	27	7582.0	8026.0	1714650022768.9	1714650023212.8	444.0	1356.4	162.7	3.1	3.1	3.1	48.8	38.0	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	26	8026.0	8061.9	1714650023212.8	1714650023248.7	35.9	-	-	-	-	-	-	-	1332.5	156.7	1511.7	158.2	3.3	5933.2	8521.9	-8508.4	90.6	184.7	55.7	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	28	8061.9	8277.9	1714650023248.7	1714650023464.7	215.9	1535.9	137.6	2.9	2.9	2.9	30.9	30.0	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	27	8277.9	8301.8	1714650023464.7	1714650023488.7	24.0	-	-	-	-	-	-	-	1531.5	132.0	1580.7	134.7	1.2	2596.0	3657.5	-3439.4	48.5	89.9	50.2	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	29	8301.8	8453.9	1714650023488.7	1714650023640.7	152.0	1601.6	133.5	2.9	2.9	2.9	34.5	16.0	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
